lat,long,alt,temp2m,humidity,precip,atm,wind,m.fapar,Campo_Rupestre,Cerrado_lato_sensu,Floresta_de_Terra_Firme,Floresta_Estacional_Semidecidual,Floresta_Ombrofila_Densa,Restinga,Savana_Estepica,Floresta_de_Igapo,Floresta_de_Varzea,Campo_de_Varzea,Campo_de_Altitude,Vegetacao_Sobre_Afloramentos_Rochosos,Savana_Amazonica,Campinarana,Campo_Limpo,Floresta_Estacional_Decidual,Floresta_Estacional_Perenifolia,Floresta_Ombrofila_Mista,Palmeiral,Manguezal
2,24,428.93,24.64,76.47,5.19,35.96,76.03,117.05,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,82.72,27.07,75.17,4.69,36.04,68.58,82.56,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7,24,50.79,26.33,84.15,5.38,36.07,52.19,132.27,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
9,26,80.19,25.9,86.2,5.43,36.07,69.58,155.29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,16,34.12,25.49,90.98,6.96,36.07,107.63,143.48,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,44,12.64,26.22,85.55,6.62,36.07,54.93,131.72,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
12,21,35.36,26.19,86.96,6.4,36.07,101.43,123.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,51,20.65,26.79,82.24,7.78,36.07,64.96,134.35,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0
12,52,23.38,26.69,82.61,7.48,36.07,67.96,131.15,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,49,6.82,26.76,83.09,7.13,36.07,47.98,112.72,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0
13,52,38.36,26.1,83.77,7.34,36.07,61.89,142.93,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
14,35,33.21,26.7,81.93,6.45,36.07,93.96,125.23,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
14,45,6.76,26.47,84.33,7.09,36.07,51.93,146.81,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,49,15.78,26.57,84,7,36.07,41.69,148.37,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0
14,51,39.63,26.13,84.52,7.04,36.07,54.71,150.22,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
14,52,41.84,26.05,83.83,6.8,36.07,56.74,143.96,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,26,58.29,26.06,86.77,6.44,36.04,101.85,149.08,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
15,34,24.34,26.71,82.23,6.59,36.04,85.66,108.28,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
15,37,24.89,27.48,77.62,5.66,36.04,78.87,85.55,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
15,58,31.48,26.91,81.72,5.46,36.04,63.56,120.3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,14,58.15,25.73,89.25,7.76,36.04,97.34,144.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
